craft_uid,method,pair_name,target_class,base_class,target_idx,n_poison,eps,watermark
D-fc-plane-frog-t3-n50-nowm,fc,plane-frog,0,6,3,50,,nowm
D-fc-plane-frog-t3-n100-wm,fc,plane-frog,0,6,3,100,16,wm
D-fc-plane-frog-t3-n100-nowm,fc,plane-frog,0,6,3,100,,nowm
D-fc-plane-frog-t4-n1-wm,fc,plane-frog,0,6,4,1,16,wm
D-fc-plane-frog-t4-n1-nowm,fc,plane-frog,0,6,4,1,,nowm
D-fc-plane-frog-t4-n5-wm,fc,plane-frog,0,6,4,5,16,wm
D-fc-plane-frog-t4-n5-nowm,fc,plane-frog,0,6,4,5,,nowm
D-fc-plane-frog-t4-n10-wm,fc,plane-frog,0,6,4,10,16,wm
D-fc-plane-frog-t4-n10-nowm,fc,plane-frog,0,6,4,10,,nowm
D-fc-plane-frog-t4-n25-wm,fc,plane-frog,0,6,4,25,16,wm
D-fc-plane-frog-t4-n25-nowm,fc,plane-frog,0,6,4,25,,nowm
D-fc-plane-frog-t4-n50-wm,fc,plane-frog,0,6,4,50,16,wm
D-fc-plane-frog-t4-n50-nowm,fc,plane-frog,0,6,4,50,,nowm
D-fc-plane-frog-t4-n100-wm,fc,plane-frog,0,6,4,100,16,wm
D-fc-plane-frog-t4-n100-nowm,fc,plane-frog,0,6,4,100,,nowm
